% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 23 2026, 16:42"
% Table,Table 34 - c_CNN_Sensor_Phase_3
% Time (s),c_CNN_Sensor_Phase_2 (mol/m^3)
6.5,-1.3208328526810747E-32
6.51,-1.339905151207379E-32
6.5200000000000005,-1.1499457306421928E-32
6.53,-7.718594540466605E-33
6.54,-2.2655118448190914E-33
6.55,4.650742149909092E-33
6.5600000000000005,1.2821118813107603E-32
6.57,2.203656951416327E-32
6.58,3.208804562246585E-32
6.59,4.2766498507403703E-32
6.6000000000000005,5.386287953836609E-32
6.61,6.516814008474062E-32
6.62,7.647323151591721E-32
6.63,8.756910520128227E-32
6.640000000000001,9.824671251022847E-32
6.65,1.0829700481213911E-31
6.66,1.1751093347640722E-31
6.67,1.256794498724178E-31
6.68,1.3259350536956388E-31
6.69,1.3804405133723085E-31
6.7,1.4182203914480786E-31
6.71,1.4371842016168494E-31
6.72,1.4352414575724975E-31
6.73,1.4103016730088982E-31
6.74,1.3602743616199485E-31
6.75,1.2830690370995405E-31
6.76,1.176595213141552E-31
6.7700000000000005,1.0387624034398744E-31
6.78,8.674801216883852E-32
6.79,6.606578815809935E-32
6.8,4.1620519681156134E-32
6.8100000000000005,1.3203158107396608E-32
6.82,-1.9395345193786894E-32
6.83,-5.638403885300737E-32
6.84,-9.797197150087667E-32
6.8500000000000005,-1.4436819176801017E-31
6.86,-1.9578174828500977E-31
6.87,-2.5242168968249195E-31
6.88,-3.1449706459106517E-31
6.890000000000001,-3.8221692164135564E-31
6.9,-4.557903094639564E-31
6.91,-5.354262766894823E-31
6.92,-6.213338719485494E-31
6.93,-7.137221438717621E-31
6.94,-8.128001410897566E-31
6.95,-9.187769122331046E-31
6.96,-1.0318615059324429E-30
6.97,-1.1522629708183757E-30
6.98,-1.2801903555215393E-30
6.99,-1.415852708672494E-30
7,-1.5594590789018829E-30
7.01,-9.071070039752477E-26
7.0200000000000005,-3.5479587418350017E-25
7.03,-7.801941502170358E-25
7.04,-1.3548425978982778E-24
7.05,-2.0666782866274544E-24
7.0600000000000005,-2.9036382858041818E-24
7.07,-3.85365966482955E-24
7.08,-4.904679493102041E-24
7.09,-6.044634840022754E-24
7.1000000000000005,-7.261462774991747E-24
7.11,-8.54310036741045E-24
7.12,-9.877484686675819E-24
7.13,-1.1252552802189767E-23
7.140000000000001,-1.2656241783352665E-23
7.15,-1.4076488699563974E-23
7.16,-1.5501230620226975E-23
7.17,-1.691840461473573E-23
7.18,-1.831594775249351E-23
7.19,-1.9681797102900607E-23
7.2,-2.100388973535644E-23
7.21,-2.2270162719261558E-23
7.22,-2.346855312401626E-23
7.23,-2.4586998019020447E-23
7.24,-2.5613434473673796E-23
7.25,-2.653579955737691E-23
7.26,-2.734203033952942E-23
7.2700000000000005,-2.802006388953187E-23
7.28,-2.855783727678423E-23
7.29,-2.894328757068625E-23
7.3,-2.916435184063907E-23
7.3100000000000005,-2.9208967156041576E-23
7.32,-2.906507058629435E-23
7.33,-2.8720599200797445E-23
7.34,-2.816349006895047E-23
7.3500000000000005,-2.7381680260154496E-23
7.36,-2.63631068438095E-23
7.37,-2.5095706889314274E-23
7.38,-2.3567417466070477E-23
7.390000000000001,-2.1766175643477246E-23
7.4,-1.9679918490935293E-23
7.41,-1.7296583077844276E-23
7.42,-1.4604106473601875E-23
7.43,-1.1590425747613036E-23
7.44,-8.24347796927573E-24
7.45,-4.551200207988598E-24
7.46,-5.015295331531474E-25
7.47,3.9175969858310414E-24
7.48,8.718242279563668E-24
7.49,1.3912469278642658E-23
7.5,1.9512340913672652E-23
7.51,2.448972880377224E-23
7.5200000000000005,2.79404191475158E-23
7.53,3.006234674467281E-23
7.54,3.105344639501815E-23
7.55,3.1111652898313344E-23
7.5600000000000005,3.043490105433223E-23
7.57,2.9221125662846524E-23
7.58,2.766826152362221E-23
7.59,2.5974243436436104E-23
7.6000000000000005,2.4337006201055887E-23
7.61,2.2954484617251504E-23
7.62,2.2024613484792486E-23
7.63,2.174532760344976E-23
7.640000000000001,2.2314561772993138E-23
7.65,2.3930250793195418E-23
7.66,2.679032946382224E-23
7.67,3.109273258464506E-23
7.68,3.7035394955435934E-23
7.69,4.481625137596441E-23
7.7,5.46332366460066E-23
7.71,6.668428556532037E-23
7.72,8.116733293368149E-23
7.73,9.828031355086321E-23
7.74,1.1822116221664832E-22
7.75,1.411878137307768E-22
7.76,1.6737820289302996E-22
7.7700000000000005,1.9699026450318881E-22
7.78,2.302219333610143E-22
7.79,2.672711442663315E-22
7.8,3.0833583201880154E-22
7.8100000000000005,3.5361393141826264E-22
7.82,4.0330337726446515E-22
7.83,4.576021043571911E-22
7.84,5.1670804749630755E-22
7.8500000000000005,5.808191414813826E-22
7.86,6.5013332111230345E-22
7.87,7.248485211888103E-22
7.88,8.0516267651069835E-22
