% Model,COMSOL_Single_Pipe.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 16 2026, 17:05"
% Table,c_Pipe_1_Sensor - c_Pipe_1_Sensor
% Time (s),c_Pipe_1 (mol/m^3),c_Pipe_1_Biff (mol/m^3)
4.74,0.9790352311220301,0.934757573411648
4.75,0.9792108825135598,0.9351515716068907
4.76,0.9793865339050861,0.9355426281415867
4.7700000000000005,0.9795621852966158,0.9359307430157427
4.78,0.979737836688146,0.9363159162293616
4.79,0.9799134880796753,0.9366981477824505
4.8,0.9800755943264596,0.9370775562318088
4.8100000000000005,0.9802184707235133,0.9374548168361613
4.82,0.9803613471205629,0.9378293436100903
4.83,0.9805042235176171,0.9382011365535925
4.84,0.980647099914675,0.9385701956666834
4.8500000000000005,0.9807899763117244,0.9389365209493402
4.86,0.980932852708777,0.9393001124015766
4.87,0.9810757291058354,0.9396609700233866
4.88,0.9812186055028854,0.9400196200190915
4.89,0.9813614818999423,0.9403759581781596
4.9,0.9815043582969917,0.9407297556599727
4.91,0.9816472346940514,0.9410810124645359
4.92,0.981790111091099,0.9414297285918554
4.93,0.981932987488159,0.9417759040419141
4.94,0.982075863885209,0.9421195388147312
4.95,0.9822187402822601,0.942460757852877
4.96,0.9823616166793119,0.9428000802891369
4.97,0.9825044930763694,0.9431370357156882
4.98,0.9826473694734241,0.9434716241325406
4.99,0.982790245870473,0.9438038455396907
5,0.9829331222675324,0.944133699937142
5.01,0.9830759986645871,0.9444611873248905
5.0200000000000005,0.9832188750616346,0.9447863077029325
5.03,0.983361751458692,0.9451095535447778
5.04,0.9835046278557433,0.9454307820399646
5.05,0.9836475042527965,0.945749813751698
5.0600000000000005,0.9837903806498532,0.9460666486799836
5.07,0.9839332570469076,0.9463812868248181
5.08,0.9840761334439555,0.9466937281862058
5.09,0.98419423893621,0.947003972764135
5.1000000000000005,0.9843096065595146,0.9473121519028408
5.11,0.9844249741828229,0.9476186772789487
5.12,0.9845403418061309,0.9479231568640702
5.13,0.9846557094294384,0.9482255906582044
5.14,0.9847710770527472,0.9485259786613568
5.15,0.9848864446760541,0.9488243208735315
5.16,0.9850018122993596,0.9491206172947098
5.17,0.9851171799226711,0.9494148679249172
5.18,0.9852325475459749,0.9497075037408639
5.19,0.9853479151692843,0.949998364175145
5.2,0.9854632827925907,0.9502873195100501
5.21,0.9855786504158988,0.9505743697455648
5.22,0.985694018039202,0.9508595148817028
5.23,0.9858093856625172,0.9511427549184563
5.24,0.9859247532858137,0.9514240898558171
5.25,0.986040120909132,0.9517036610908377
5.26,0.9861554885324391,0.951981809162876
5.2700000000000005,0.9862708561557458,0.9522581905209327
5.28,0.9863862237790573,0.9525328051650097
5.29,0.9865015914023646,0.9528056530951
5.3,0.9866169590256725,0.9530767343112047
5.3100000000000005,0.9867323266489799,0.95334604881333
5.32,0.9868476942722871,0.9536135966014698
5.33,0.9869630618955887,0.9538797626855559
5.34,0.9870784295189023,0.9541443749085228
5.3500000000000005,0.987193797142205,0.9544073394334183
5.36,0.9873091647655192,0.9546686562602285
5.37,0.9874157581577747,0.954928325388947
5.38,0.9875084924734153,0.9551863468195888
5.39,0.9876012267890717,0.9554427205521605
5.4,0.9876939611047133,0.9556975714008192
5.41,0.9877866954203626,0.9559511322142149
5.42,0.9878794297360188,0.9562031515448638
5.43,0.98797216405166,0.9564536293927526
5.44,0.9880648983673104,0.9567025657578909
5.45,0.9881576326829562,0.9569499606402785
5.46,0.9882503669986042,0.9571958140399098
5.47,0.9883431013142566,0.9574401259567952
5.48,0.9884358356299026,0.957683251072342
5.49,0.9885285699455502,0.9579250067791188
5.5,0.9886213042612005,0.958165325074184
5.51,0.9887140385768495,0.9584042059575251
5.5200000000000005,0.9888067728924979,0.958641649429155
5.53,0.9888995072081439,0.958877655489069
5.54,0.9889922415237956,0.9591122241372543
5.55,0.9890849758394422,0.9593454796764683
5.5600000000000005,0.9891777101550911,0.9595776016352267
5.57,0.9892704444707421,0.9598083796499854
5.58,0.9893631787863885,0.960037813720728
5.59,0.9894559131020403,0.9602659038474652
5.6000000000000005,0.9895486474176826,0.9604926500302059
5.61,0.9896413817333304,0.9607180522689355
5.62,0.9897341160489806,0.9609421105636655
5.63,0.9898268503646296,0.9611653617077349
5.64,0.989919584680272,0.9613874961965814
