% Model,COMSOL_Three_Pipes_Phase_2.mph
% Version,COMSOL 6.3.0.420
% Date,"Feb 23 2026, 11:30"
% Table,Table 34 - c_CNN_Sensor_Phase_3
% Time (s),c_CNN_Sensor_Phase_2 (mol/m^3)
6.140000000000001,-3.5939853250724134E-51
6.15,-3.984485467851056E-51
6.16,-4.396200615389656E-51
6.17,-4.82913076768818E-51
6.18,-5.2832759247466516E-51
6.19,-5.758636086565168E-51
6.2,-6.708719585138921E-51
6.21,-7.816457028664496E-51
6.22,-9.020637085856386E-51
6.23,-1.0321259756714512E-50
6.24,-1.1718325041239107E-50
6.25,-1.32118329394298E-50
6.26,-1.48017834512868E-50
6.2700000000000005,-1.6488176576810413E-50
6.28,-1.8271012316E-50
6.29,-2.0150290668856051E-50
6.3,-2.212601163537846E-50
6.3100000000000005,-2.4198175215567384E-50
6.32,-2.636678140942199E-50
6.33,-3.0833164258061625E-50
6.34,-3.5878501484254373E-50
6.3500000000000005,-4.135984593125534E-50
6.36,-4.727719759906359E-50
6.37,-5.36305564876795E-50
6.38,-6.041992259710348E-50
6.390000000000001,-6.7645295927335635E-50
6.4,-7.530667647837499E-50
6.41,-8.340406425022258E-50
6.42,-9.193745924287746E-50
6.43,-1.0090686145634061E-49
6.44,-1.1031227089061138E-49
6.45,-1.201536875456903E-49
6.46,-1.4099590410094483E-49
6.47,-1.638334637338087E-49
6.48,-1.8862912847615738E-49
6.49,-2.1538289832798513E-49
6.5,-2.440947732892988E-49
6.51,-2.7476475336009136E-49
6.5200000000000005,-3.0739283854037194E-49
6.53,-3.4197902883013413E-49
6.54,-3.78523324229376E-49
6.55,-4.17025724738105E-49
6.5600000000000005,-4.57486230356322E-49
6.57,-4.999048410840108E-49
6.58,-5.468255053652115E-49
6.59,-6.407242661295227E-49
6.6000000000000005,-7.433498458707371E-49
6.61,-8.547022445888245E-49
6.62,-9.747814622838097E-49
6.63,-1.1035874989556722E-48
6.640000000000001,-1.2411203546044559E-48
6.65,-1.3873800292300847E-48
6.66,-1.5423665228326466E-48
6.67,-1.706079835412059E-48
6.68,-1.8785199669683777E-48
6.69,-2.059686917501592E-48
6.7,-2.249580687011675E-48
6.71,-2.4714697380022983E-48
6.72,-2.8902973036779685E-48
6.73,-3.347685322883853E-48
6.74,-3.843633795619857E-48
6.75,-4.3781427218860386E-48
6.76,-4.951212101682369E-48
6.7700000000000005,-5.56284193500898E-48
6.78,-6.213032221865682E-48
6.79,-6.9017829622526E-48
6.8,-7.629094156169642E-48
6.8100000000000005,-8.394965803616892E-48
6.82,-9.199397904594335E-48
6.83,-1.0042390459101897E-47
6.84,-1.1078619716699483E-47
6.8500000000000005,-1.292981631874463E-47
6.86,-1.4949789876531609E-47
6.87,-1.7138540390060628E-47
6.88,-1.949606785933155E-47
6.890000000000001,-2.2022372284344715E-47
6.9,-2.471745366509955E-47
6.91,-2.7581312001596386E-47
6.92,-3.06139472938353E-47
6.93,-3.381535954181607E-47
6.94,-3.718554874553902E-47
6.95,-4.072451490500388E-47
6.96,-4.443225802021075E-47
6.97,-4.920828404605986E-47
6.98,-5.730922228531746E-47
6.99,-6.614129223363407E-47
7,-7.570449389101008E-47
7.01,-8.599882725744612E-47
7.0200000000000005,-9.70242923329429E-47
7.03,-1.0878088911749755E-46
7.04,-1.2126861761111252E-46
7.05,-1.3448747781378756E-46
7.0600000000000005,-1.4843746972552356E-46
7.07,-1.6311859334631797E-46
7.08,-1.7853084867617012E-46
7.09,-1.9467423571508423E-46
7.1000000000000005,-9.717130919238483E-35
7.11,-4.479241836974402E-34
7.12,-8.469003740358658E-34
7.13,-1.2940998802076264E-33
7.140000000000001,-1.7895227022129748E-33
7.15,-2.3331688400516904E-33
7.16,-2.925038293723477E-33
7.17,-3.5651310632289875E-33
7.18,-4.253447148567818E-33
7.19,-4.989986549739579E-33
7.2,-5.774749266745303E-33
7.21,-6.607735299584402E-33
7.22,-7.488944648256796E-33
7.23,-8.418377312762798E-33
7.24,-9.396033293102023E-33
7.25,-1.0421912589273431E-32
7.26,-1.1496015201279513E-32
7.2700000000000005,-1.2618341129119032E-32
7.28,-1.378889037279185E-32
7.29,-1.5007662932298184E-32
7.3,-1.6274658807637827E-32
7.3100000000000005,-1.7589877998811152E-32
7.32,-1.895332050581748E-32
7.33,-2.0364986328654762E-32
7.34,-2.1824875467328053E-32
7.3500000000000005,-2.333298792183488E-32
7.36,-2.541314660285612E-32
7.37,-2.8309325472841554E-32
7.38,-3.13468781717628E-32
7.390000000000001,-3.452580469962044E-32
7.4,-3.784610505641371E-32
7.41,-4.130777924213726E-32
7.42,-4.491082725680292E-32
7.43,-4.8655249100403965E-32
7.44,-5.254104477294099E-32
7.45,-5.656821427441408E-32
7.46,-6.073675760482434E-32
7.47,-6.504667476416913E-32
7.48,-6.949796575245047E-32
7.49,-7.409063056966676E-32
7.5,-7.882466921581958E-32
7.51,-8.370008169089567E-32
7.5200000000000005,-8.871686799492128E-32
7.53,-9.387502812788193E-32
7.54,-9.917456208977819E-32
7.55,-1.0461546988061134E-31
7.5600000000000005,-1.1019775150038115E-31
7.57,-1.1592140694908368E-31
7.58,-1.2178643622672502E-31
7.59,-1.281175330412411E-31
7.6000000000000005,-1.3672389726644666E-31
7.61,-1.4567179672187545E-31
7.62,-1.549612314075301E-31
7.63,-1.6459220132337864E-31
7.640000000000001,-1.7456470646948534E-31
7.65,-1.8487874684581669E-31
7.66,-1.9553432245236987E-31
7.67,-2.0653143328915038E-31
7.68,-2.178700793561577E-31
7.69,-2.295502606533898E-31
7.7,-2.415719771808443E-31
7.71,-2.53935228938528E-31
